"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT"
"TID_DECORATION_NATIONAL_FLAG","National Flag","Drapeau national","Landesflagge","Bandera nacional","Bandiera nazionale","Nationale vlag","Nasjonalflagg","Bandeira Nacional","Milli Bayrak","国旗","国旗","국기","Национальный Флаг","علم قومي","國旗"
"TID_TIME_DAYS","d","j","d","d","g","d","d","d","g","日","天","일","д.","يوم","天"
"TID_TIME_HOURS","h","h","h","h","o","u","t","h","sa","時間","小时","시간","ч.","ساعة","時"
"TID_TIME_MINS","m","min","m","m","m","m","m","m","d","分","分钟","분","м.","دقيقة","分"
"TID_TIME_SECS","s","s","s","s","s","s","s","s","sn","秒","秒","초","с.","ثانية","秒"
"TID_BATTLE_TIME_TITLE","Battle ends in:","Fin de la bataille dans :","Kampf endet in:","La batalla acaba en:","La battaglia termina tra:","Gevecht eindigt over:","Kampen slutter om:","Batalha termina em:","Savaş bitmesine kalan:","戦闘終了まで：","离战斗结束还有：","남은 시간:","Конец сражения через:","تنتهي المعركة بعد:","離戰鬥結束剩下："
"TID_POPUP_HEADER_WARNING","Warning!","Attention !","Achtung!","¡Cuidado!","Attenzione!","Waarschuwing!","Advarsel!","Atenção!","Uyarı!","警告！","警告！","경고!","Внимание!","تحذير!","Warning!"
"TID_POPUP_UNDER_ATTACK","You are under attack! Please wait, your village will load automatically.","On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.","Du wirst angegriffen! Warte kurz, dein Dorf wird automatisch geladen.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Een ogenblikje geduld, je dorp wordt automatisch geladen.","Du blir angrepet! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Aguarde, sua vila será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek.","攻撃を受けています！\n村が自動的にロードされるまで少しお待ちください。","您的村庄正在遭受攻击！请稍等，稍后您才能回到您的村庄。","공격받고 있습니다! 잠시 후 마을을 확인할 수 있습니다.","На вас напали! Подождите, ваша деревня загрузится автоматически.","أنت تتعرض للهجوم! يُرجى الانتظار، سيتم تحميل قريتك تلقائيًا.","您遭到攻擊了！您稍候才能回到村莊。"
"TID_POPUP_TRY_AGAIN","Estimated time left:","Temps restant estimé :","Geschätzte Restzeit:","Tiempo restante estimado:","Tempo restante stimato:","Resterende tijd:","Anslått tid igjen:","Tempo restante estimado:","Kalan tahmini süre:","待ち時間：","预计等待时间：","예상 대기 시간:","Примерно осталось времени:","الوقت المقدر المتبقي:","預估剩餘時間："
"TID_BUTTON_OKAY","Okay","OK","Okay","Vale","OK","Oké","OK","Ok","Tamam","OK","确定","확인","Окей","حسنًا","確定"
"TID_POPUP_TRAIN_TITLE","Train troops <limit>","Former des troupes <limit>","Truppen ausbilden: <limit>","Entrenar tropas <limit>","Addestra truppe <limit>","Train troepen: <limit>","Tren tropper <limit>","Treinar Tropas <limit>","<limit> Birlik eğit","ユニットの訓練 <limit>","训练军队：<limit>","유닛 훈련 <limit>","Тренировка войск <limit>","تدريب القوات <limit>","訓練部隊 <limit>"
"TID_INVALID_PLACEMENT","You cannot deploy troops on the red area!","Impossible de déployer des troupes dans la zone rouge !","Du kannst im roten Gebiet keine Truppen einsetzen!","No puedes desplegar tropas en la zona roja.","Non puoi schierare truppe nella zona rossa!","Je kunt geen troepen in het rode gebied inzetten!","Du kan ikke utplassere soldater i det røde området.","Você não pode mobilizar tropas na área vermelha!","Birliklerini kırmızı alana konuşlandıramazsın!","赤いエリアにはユニットを配置できません。","您不能在红线范围内派遣部队！","빨간색 지역에는 병력을 배치할 수 없습니다!","Вы не можете развернуть войска в красной зоне!","لا يمكنك نشر القوات في المنطقة الحمراء!","您無法在紅線區域內裡派遣部隊！"
"TID_ALL_TROOPS_USED","All forces deployed","Toutes les forces sont déployées.","Alle Truppen eingesetzt","¡Todas las unidades desplegadas!","Tutte le forze schierate","Alle eenheden zijn ingezet","Alle styrker utplassert","Todas as forças mobilizadas","Tüm kuvvetler konuşlandı","全ユニット出撃済み","已经派出所有兵力","유닛을 모두 투입했습니다.","Все войска отправлены","تم نشر جميع القوات","已佈署所有兵力"
"TID_OTHER_TROOP_LEFT","Select a different unit","Sélectionnez une autre unité","Wähle eine andere Einheit","Selecciona una unidad diferente.","Seleziona un'altra unità","Kies een andere eenheid","Velg en annen enhet","Selecione outra unidade","Farklı bir birim seç","別のユニットを選択してください","该兵种已用完，请选择其他兵种！","다른 유닛을 선택하세요.","Выберите другое подразделение","تحديد وحدة مختلفة","該兵種已用完，請選取其他單位"
"TID_DIAMONDS","Gems","Gemmes","Juwelen","Gemas","Gemme","Edelstenen","Juveler","Gemas","Taş","エメラルド","宝石","보석","Кристаллы","جواهر","寶石"
"TID_GOLD","Gold","Or","Gold","Oro","Oro","Goud","Gull","Ouro","Altın","ゴールド","金币","골드","Золото","ذهب","金幣"
"TID_ELIXIR","Elixir","Élixir","Elixier","Elixir","Elisir","Elixir","Eliksir","Elixir","İksir","エリクサー","圣水","엘릭서","Эликсир","إكسير","聖水"
"TID_ITEM_LEVEL","<item> (Level <number>)","<item> (niveau <number>)","<item> (Level <number>)","<item> (nivel <number>)","<item> (livello <number>)","<item> (level <number>)","<item> (nivå <number>)","<item> (Nível <number>)","<item> (<number>. seviye)","<item> （レベル <number>）","<item> （等级<number>）","<item>(레벨 <number>)","<item> (уровень <number>)","<item> (المستوى <number>)","<item>(等級<number>)"
"TID_SHOP_TITLE","Shop","Magasin","Shop","Tienda","Negozio","Winkel","Butikk","Loja","Dükkan","ショップ","商店","상점","Магазин","المتجر","商店"
"TID_ITEM_BROKEN","<item> (Broken)","<item> (cassé)","<item> (kaputt)","<item> (en ruinas)","<item> (distrutto)","<item> (stuk)","<item> (ødelagt)","<item> (Quebrado)","<item> (Yıkılmış)","<item> （破壊）","<item> (损坏）","<item>(잔해)","<item> (разрушено)","<item> (مكسور)","<item>(已損壞)"
"TID_BUILDING_ARCHER_TOWER","Archer Tower","Tour d'archers","Bogenschützenturm","Torre de arqueras","Torre dell'arciere","Boogschuttertoren","Bueskyttertårn","Torre Arqueira","Okçu Kulesi","アーチャータワー","箭塔","아처 타워","Башня Лучниц","برج رامي السهام","箭塔"
"TID_BUILDING_CLASS_ARMY","Army Buildings","Bâtiments militaires","Armeegebäude","Ejército","Edifici dell'esercito","Legers","Militærbygninger","Construções do Exército","Askeri Binalar","軍事関連","军队建筑","군사 시설","Военные Здания","مباني الجيش","軍事建築物"
"TID_BUILDING_CLASS_DEFENSE","Defenses","Défenses","Verteidigung","Defensas","Difese","Verdedigingswerken","Forsvar","Defesas","Savunma","防衛設備","防御设施","방어 시설","Защита","الدفاعات","防禦設施"
"TID_BUILDING_CLASS_RESOURCE","Resources","Ressources","Ressourcen","Recursos","Risorse","Grondstoffen","Ressurser","Recursos","Kaynaklar","資源","资源","자원 시설","Ресурсы","الموارد","資源"
"TID_BUILDING_CLASS_WALL","Walls","Remparts","Mauern","Muros","Mura","Muren","Murer","Muros","Duvarlar","壁","城墙","장벽","Стены","الجدران","城牆"
"TID_NOT_ENOUGH_WORKERS_HEADER","All builders are busy!","Tous les ouvriers sont occupés !","Alle Bauarbeiter sind beschäftigt!","¡No hay constructores libres!","Tutti i costruttori sono occupati!","Alle bouwvakkers zijn bezig!","Alle byggerne er opptatt!","Todos os construtores estão ocupados!","Tüm inşaatçılar meşgul!","大工さんは全員仕事中","所有建筑工人都很忙！","장인이 모자랍니다!","Все строители заняты!","جميع البنائين مشغولون!","所有建築工都在忙碌中！"
"TID_NOT_ENOUGH_WORKERS_TEXT","Complete the previous building and free up a builder?","Terminer le bâtiment précédent pour libérer un ouvrier ?","Vorheriges Gebäude fertigstellen und einen Bauarbeiter freimachen?","¿Quieres terminar la tarea anterior para liberar a un constructor?","Vuoi completare l'incarico precedente e liberare un costruttore?","De vorige taak voltooien en een bouwvakker vrij maken?","Fullføre den forrige bygningen og frigjøre en bygger?","Completar a construção anterior e liberar um construtor?","Önceki binayı tamamlayıp bir inşaatçıyı boşa çıkar?","建設中の建物を今すぐ完成させて、\n大工をこちらにまわしますか？","立刻完成一个建筑以空出一个建筑工人好吗？","진행 중인 건설을 즉시 완료하고 장인을 불러올까요?","Завершить предыдущее строение, чтобы строитель освободился?","إكمال المبنى السابق وتوفير أحد البنائين؟","要立即完成上一座建築物並空出一個建築工嗎？"
"TID_NOT_ENOUGH_RESOURCE","You don't have enough <resource>!","Vous n'avez pas assez de : <resource> !","Du hast nicht genug <resource>!","¡Necesitas más <resource>!","Non hai abbastanza <resource>!","Je hebt te weinig <resource>!","Du har ikke nok <resource>!","Seu estoque de <resource> é insuficiente!","Yeterli <resource> yok!","<resource>が足りません","您没有足够的<resource>！","<resource>(이)가 부족합니다!","Нужно больше ресурса <resource>!","لا يوجد لديك <resource> كافٍ!","你的<resource>不足！"
"TID_TOWN_HALL_LEVEL_TOO_LOW","You need to upgrade your Town Hall to level <number>!","Vous devez améliorer votre hôtel de ville au niveau <number> !","Du musst dein Rathaus auf Level <number> verbessern!","Debes mejorar tu ayuntamiento al nivel <number>.","Devi portare il tuo municipio al livello <number>!","Je moet je stadhuis naar level <number> upgraden!","Du må oppgradere rådhuset til nivå <number>!","Você precisa melhorar seu Centro da Vila para o nível <number>!","Belediye Binanı <number>. seviyeye yükseltmen gerekiyor!","先にタウンホールをレベル <number> に要アップグレード！","您需要升级大本营至<number>级！","마을 회관을 <number>레벨로 업그레이드해야 합니다!","Повысьте уровень ратуши до <number>!","أنت بحاجة إلى ترقية قاعة المدينة إلى المستوى <number>!","您需要將大本營提升至等級<number>！"
"TID_POPUP_ABOUT_TO_SELL_TITLE","Sell building","Vendre le bâtiment","Gebäude verkaufen","Vender edificio","Vendi edificio","Gebouw verkopen","Selg bygning","Vender construção","Binayı sat","建物を売る","出售","건물 판매","Продать здание","بيع المبنى","出售"
"TID_POPUP_TEXT_ABOUT_TO_SELL","Do you really want to sell <item> for <number> <resource>?","Voulez-vous vraiment vendre votre <item> pour <number> <resource> ?","<item> wirklich für <number> <resource> verkaufen?","¿Seguro que quieres vender <item> por <number> de <resource>?","Vuoi davvero vendere: <item> per <number> <resource>?","Wil je een <item> echt voor <number> <resource> verkopen?","Vil du virkelig selge <item> for <number> <resource>?","Quer mesmo vender <item> por <number> <resource>?","<item> öğesini <number> <resource> karşılığında satmak istediğine emin misin?","本当に<item>を<resource><number>で\n売りますか？","您确定想以<item>换取<number><resource>吗？","<item>(을)를 <resource> <number>개에 판매할까요?","Вы точно хотите продать <item> за <resource> (<number>)?","هل تريد حقًا بيع <item> مقابل <number> <resource>؟","是否確定要以<item>換取<number>個<resource>？"
"TID_POPUP_UPGRADE_TITLE","Upgrade to level <number>?","Améliorer au niveau <number> ?","Auf Level <number> verbessern?","¿Mejorar al nivel <number>?","Portare al livello <number>?","Upgraden naar level <number>?","Oppgradere til nivå <number>?","Melhorar para o nível <number>?","<number>. seviyeye yükseltilsin mi?","レベル<number>にアップグレードしますか？","确定升级至<number>级吗？","레벨 <number> 업그레이드","Поднять до <number> уровня?","هل تريد الترقية إلى المستوى <number>؟","是否提升至等級<number>？"
"TID_POPUP_UPGRADE_BUILD_MORE","Build more:","Construire davantage :","Mehr bauen:","Construye más:","Costruisci più:","Meer bouwen:","Bygg mer:","Construir mais:","Daha inşa et:","もっと建てる：","建造更多的：","필요한 건물:","Построить больше:","بناء المزيد:","建造更多："
"TID_RESOURCE_CAP_FULL_GOLD","Build more or upgrade existing Gold Storages!","Construisez plus de réserves d'or ou améliorez celles que vous avez déjà !","Verbessere deine Goldlager oder baue mehr davon!","Construye más almacenes de oro o mejora los que tienes.","Costruisci depositi d'oro o migliora quelli esistenti!","Bouw meer of upgrade bestaande goudkluizen!","Bygg flere, eller oppgrader eksisterende gullagre!","Construa mais Depósitos de Ouro ou melhore os já existentes!","Daha çok Altın Deposu inşa et ya da yükselt!","金庫をもっと建てるか、今ある金庫をアップグレードしましょう！","建造更多储金罐或者升级储金罐！","골드 저장소를 더 건설하거나 업그레이드하세요!","Постройте новое Золотохранилище или улучшите старое!","قم ببناء المزيد من مخازن الذهب أو ترقية الموجودة بالفعل!","建造更多儲金罐或升級現有的儲金罐！"
"TID_RESOURCE_CAP_FULL_ELIXIR","Build more or upgrade existing Elixir Storages!","Construisez plus de réservoirs d'élixir ou améliorez ceux que vous avez déjà !","Verbessere deine Elixierlager oder baue mehr davon!","Construye más almacenes de elixir o mejora los que tienes.","Costruisci depositi di elisir o migliora quelli esistenti!","Bouw meer of upgrade bestaande elixirtanks!","Bygg flere, eller oppgrader eksisterende eliksirlagre!","Construa mais Depósitos de Elixir ou melhore os já existentes!","Daha çok İksir Deposu inşa et ya da yükselt!","エリクサータンクをもっと建てるか、\n今あるエリクサータンクをアップグレードしましょう！","建造更多圣水瓶或者升级圣水瓶！","엘릭서 저장소를 더 건설하거나 업그레이드하세요!","Постройте новое Эликсирохранилище или улучшите старое!","قم ببناء المزيد من مخازن الإكسير أو ترقية الموجودة بالفعل!","建造更多聖水瓶或升級現有的聖水瓶！"
"TID_POPUP_FRIEND_LIST_TITLE","Friends","Amis","Freunde","Amigos","Amici","Vrienden","Venner","Amigos","Arkadaşlar","フレンド","好友","친구","Друзья","الأصدقاء","好友"
"TID_CONNECT_WITH_FACEBOOK_BUTTON","Connect to Facebook","Se connecter à Facebook","Mit Facebook verbinden","Conectar con Facebook","Connetti a Facebook","Maak verbinding met Facebook","Koble til Facebook","Conectar ao Facebook","Facebook'a bağlan","Facebookに接続","连接到Facebook","Facebook에 연결","Подключиться к Facebook","الاتصال بموقع Facebook","連接至Facebook"
"TID_LOGIN_TO_FACEBOOK_BUTTON","Login to Facebook","Connexion à Facebook","Bei Facebook anmelden","Conectar con Facebook","Accesso a Facebook","Meld je aan op Facebook","Logg på Facebook","Fazer login no Facebook","Facebook'ta oturum aç","Facebookにログイン","登录到Facebook","Facebook에 로그인","Войти в Facebook","تسجيل الدخول إلى Facebook","登入Facebook"
"TID_LOADING_FACEBOOK_FRIENDS","Loading friend list...","Chargement de la liste d'amis...","Freundesliste wird geladen ...","Cargando lista de amigos...","Caricamento lista amici...","Vriendenlijst wordt geladen...","Laster venneliste ...","Carregando lista de amigos...","Arkadaş listesi yükleniyor...","友達リストの読み込み中...","正在载入好友列表......","친구 목록을 불러오는 중...","Загрузка списка друзей...","جارِ تحميل قائمة الأصدقاء...","正在載入好友清單..."
"TID_OBSTACLE_TOMBSTONE","Tombstone","Pierre tombale","Grabstein","Lápida","Lapide","Grafsteen","Gravstein","Lápide","Mezar Taşı","墓石","墓碑","묘비","Надгробие","شاهد القبر","墓碑"
"TID_NO_FACEBOOK_FRIENDS","Unable to find Facebook friends who play Clash of Clans","Impossible de trouver vos amis Facebook qui jouent à Clash of Clans.","Es konnten keine Facebook-Freunde gefunden werden, die Clash of Clans spielen.","No se han encontrado amigos de Facebook que jueguen a Clash of Clans.","Non è stato possibile trovare amici di Facebook che giocano a Clash of Clans.","Geen Facebook-vrienden gevonden die Clash of Clans spelen","Finner ingen Facebook-venner som spiller Clash of Clans","Não foi possível encontrar os amigos do Facebook que jogam Clash of Clans","Clash of Clans oynayan Facebook arkadaşları bulunamıyor","クラッシュ・オブ・クランをプレイしているFacebookの友達がみつかりませんでした。","无法找到玩部落冲突的Facebook好友","클래시 오브 클랜을 즐기는 Facebook 친구를 찾을 수 없습니다.","Не удалось найти в Facebook друзей, которые играют в Clash of Clans.","لا يمكن العثور على أصدقاء عبر Facebook يلعبون Clash of Clans","找不到進行《部落衝突》遊戲的Facebook好友"
